# Time, Northings KDE, Eastings KDE, Yaw KDE, Northings STD, Eastings STD, Northings GT, Eastings GT, Yaw GT
0.000000000000000000e+00,3.050865905911471221e-01,3.189795414140672580e-01,1.773439774812524876e-04,6.062148090771572045e-02,4.436267411474532907e-02,3.000679155622141270e-01,2.999999991794740639e-01,6.283185305569837453e+00
1.239249706268310547e-01,3.086160469348345758e-01,3.187284935336572866e-01,6.282592610990477944e+00,6.072155146876421355e-02,4.436957135855829765e-02,3.000679155622141270e-01,2.999999991794740639e-01,6.283185305569837453e+00
6.543459892272949219e-01,3.284366643124538854e-01,3.176976364140578490e-01,2.348316629582886117e-01,6.095247031762396350e-02,4.432893609502282922e-02,3.000679155622141270e-01,2.999999991794740639e-01,6.283185305569837453e+00
1.149082899093627930e+00,3.416274385435351668e-01,3.193763771195797796e-01,3.725261406312658785e-01,6.108411616098784885e-02,4.361563805614158268e-02,3.000679155622141270e-01,2.999999991794740639e-01,6.283185305569837453e+00
1.686722993850708008e+00,3.545536809541254830e-01,3.218190008160073390e-01,4.061757760225394032e-01,6.312661642482203517e-02,4.240280933775162492e-02,3.197206629432782776e-01,3.007924558691074668e-01,9.604810022183054088e-03
2.546048879623413086e+00,3.714211973173833226e-01,3.319533075427023583e-01,3.077683339682447117e-01,6.208244272543474856e-02,4.107492659733030793e-02,3.508006174157506374e-01,3.260859176103712564e-01,2.809397425705490448e-01
3.571753978729248047e+00,3.722347948116059846e-01,3.214797058968319465e-01,1.683316988719044394e-01,5.970446824277477610e-02,4.102767233609272424e-02,3.733955953147102269e-01,3.454648167257333702e-01,4.040091347487768658e-01
4.799725055694580078e+00,4.078157338333004422e-01,3.281546133307769453e-01,3.560458163285248889e-01,5.012603208080859685e-02,5.123234396285359510e-02,4.006182579770515839e-01,3.516086752981074648e-01,3.421977412723178347e-01
5.821938991546630859e+00,4.319290166834042211e-01,3.335721745268088179e-01,3.632789044617579233e-01,4.924076038870641575e-02,4.648627360224173721e-02,4.295984714837908780e-01,3.496281446314397634e-01,2.167949511751405822e-01
6.734791040420532227e+00,4.656486130821810843e-01,3.554548999061700743e-01,2.960922735870810674e-01,4.982835801186182717e-02,4.615286747461988526e-02,4.601309384758767163e-01,3.527613495639598251e-01,1.949230333842892904e-01
7.952977895736694336e+00,5.048073517175400982e-01,3.556885956073150279e-01,6.089828264292187932e+00,5.112480445413226243e-02,4.608937213871788091e-02,4.876980598863574490e-01,3.620646117330241776e-01,2.205509212531220342e-01
9.282407045364379883e+00,5.617648665461200119e-01,2.996505256595406452e-01,4.133563680093789716e-01,1.251064085065166538e-02,3.508028526960872001e-02,5.158104436298918127e-01,3.602796777032238329e-01,1.371140308118876661e-01
1.049998593330383301e+01,5.922857733647302059e-01,3.059300066999799395e-01,6.164465005647496554e+00,1.317471080420005644e-02,3.655311567804092610e-02,5.446576468906394464e-01,3.568045536741482615e-01,5.578644875388505397e-02
