# Time, Northings KDE, Eastings KDE, Yaw KDE, Northings STD, Eastings STD, Northings GT, Eastings GT, Yaw GT
0.000000000000000000e+00,3.323442274732708590e-01,3.100721929609635552e-01,4.304075563032968427e-03,3.349005140239646322e-02,5.526346424655195766e-02,3.000679155622141270e-01,2.999999991794740639e-01,6.283185305569837453e+00
1.163649559020996094e-01,3.358600268157532209e-01,3.094846974898878278e-01,8.994982824606903918e-03,3.356837944181005617e-02,5.527716974575659636e-02,3.000679155622141270e-01,2.999999991794740639e-01,6.283185305569837453e+00
5.857110023498535156e-01,3.494536859543300178e-01,3.094634788252160762e-01,2.148465273558300415e-01,3.323851681131957669e-02,5.505865524237159303e-02,3.000679155622141270e-01,2.999999991794740639e-01,6.283185305569837453e+00
1.229268074035644531e+00,3.545502404115725703e-01,3.095989256012626201e-01,4.625789534180033136e-01,3.217516764650112104e-02,5.413723682855550029e-02,3.069003401013544186e-01,2.999999994367000822e-01,6.283185303736817495e+00
1.792151927947998047e+00,3.653549601968028582e-01,3.152204389557299868e-01,4.782695110893264712e-01,3.383240572996208673e-02,5.435993712882584983e-02,3.069003401013544186e-01,2.999999994367000822e-01,6.283185303736817495e+00
2.535649061203002930e+00,3.780764059497980223e-01,3.220977986004080473e-01,3.753169789829072234e-01,3.394931239531423506e-02,5.360256438347171803e-02,3.416414836887354256e-01,3.098639613521236291e-01,1.128576119170441455e-01
3.362395048141479492e+00,3.972038616984955306e-01,3.240137661406763403e-01,2.709543277814729367e-01,3.469572697769322811e-02,5.471665990003315300e-02,3.611023898234786422e-01,3.452721897149176877e-01,4.534329888046482182e-01
4.537708997726440430e+00,4.323812126649231868e-01,3.532502923405884121e-01,2.987807176750971183e-01,4.305357791002408646e-02,6.027582255009275580e-02,3.864059328710817698e-01,3.564743955991721558e-01,4.323147386804162551e-01
5.754631996154785156e+00,4.698076817105507064e-01,3.729968729880015488e-01,1.631124071563486433e-01,2.746314778855347971e-02,3.742042372682673895e-02,4.155514341149209034e-01,3.567956771326880050e-01,3.046526621241367749e-01
7.160968065261840820e+00,4.772742849599918014e-01,3.887859286430181971e-01,6.033165316994910654e+00,2.506230691440407277e-02,2.471338525529601440e-02,4.711271397009952344e-01,3.628184838648715882e-01,2.266585501903514988e-01
8.970474958419799805e+00,5.530835875548710812e-01,3.998630429657069052e-01,6.491237777334371017e-01,2.056455980071345349e-02,7.377027285058504989e-03,5.000208512023294194e-01,3.607861479514902214e-01,1.276254165794998841e-01
1.055900216102600098e+01,5.969135673770056272e-01,4.065427593885915236e-01,6.232003034425376065e+00,2.334255390416340586e-02,9.849434779270397136e-03,5.510066417124395155e-01,3.199058298366379560e-01,5.939119753769244170e+00
1.257470607757568359e+01,6.411151613474517230e-01,4.229117377265358413e-01,4.984550793462214080e-02,2.554434357916839787e-02,1.115734310152288918e-02,6.078872465725715379e-01,3.012843756991686051e-01,6.110236804568354607e+00
1.440876603126525879e+01,6.506772645279725875e-01,3.997168674271044386e-01,5.727145334401785526e+00,3.635486041305576593e-02,1.041531842346724024e-02,6.899647227625954615e-01,3.142011162434890092e-01,6.163142920130090019e+00
1.617075610160827637e+01,6.877714573720054014e-01,3.897479357737967387e-01,2.134134036012512170e-01,3.266930030749633229e-02,1.356184790721340523e-02,7.156819482117948716e-01,2.870733237488481415e-01,5.939053452761619667e+00
1.816655802726745605e+01,7.282281834915420582e-01,3.944402282907935597e-01,5.641412089840572186e+00,3.158643520967025636e-02,8.000660457474714077e-03,7.576995062872720066e-01,2.454407295465534378e-01,5.642215190744897413e+00
