# Time, Northings KDE, Eastings KDE, Yaw KDE, Northings STD, Eastings STD, Northings GT, Eastings GT, Yaw GT
0.000000000000000000e+00,3.119285426284301721e-01,3.174487029599556420e-01,6.279563890116429015e+00,5.198007148678877171e-02,5.423067109122763074e-02,3.000679155622141270e-01,2.999999991794740639e-01,6.283185305569837453e+00
1.163020133972167969e-01,3.146966257090012542e-01,3.172675220959441655e-01,6.273408782739510414e+00,5.196521927983315664e-02,5.421937350783948006e-02,3.000679155622141270e-01,2.999999991794740639e-01,6.283185305569837453e+00
5.931050777435302734e-01,3.214858683954804341e-01,3.209290476211150711e-01,1.886198065914438116e-01,5.232628401838748666e-02,5.424495793317753167e-02,3.000679155622141270e-01,2.999999991794740639e-01,6.283185305569837453e+00
1.094098091125488281e+00,3.351119587082486695e-01,3.226634431774643152e-01,3.326514462429920882e-01,5.061462286456046983e-02,5.405422255020915501e-02,3.000679155622141270e-01,2.999999991794740639e-01,6.283185305569837453e+00
1.581532955169677734e+00,3.476229438594299337e-01,3.253544774472717505e-01,3.640250863852631524e-01,4.933029929631283644e-02,5.399175985065802347e-02,3.137294142965274535e-01,2.999999998338704343e-01,6.283185303695637103e+00
2.266652107238769531e+00,3.555727147805344268e-01,3.320285800575112911e-01,3.233683836224259256e-01,4.886592133317357173e-02,5.395235142402281248e-02,3.456351284977614569e-01,3.201184671039494778e-01,2.207591182776553751e-01
2.939322948455810547e+00,3.702728573531232636e-01,3.373411722883604136e-01,2.514017870062141280e-01,4.860211074557294064e-02,5.352404708830123259e-02,3.456351284977614569e-01,3.201184671039494778e-01,2.207591182776553751e-01
3.721637010574340820e+00,3.945916517308623028e-01,3.374501646981388214e-01,1.692660048225270719e-01,5.162822715596923628e-02,5.234499519234080828e-02,3.698772841866359018e-01,3.373581289339026568e-01,3.305327489305466826e-01
4.746444940567016602e+00,4.260731864601617902e-01,3.306560027525674572e-01,2.409178515717400881e-01,5.267279216061016012e-02,5.198533763672601865e-02,3.980259226355492563e-01,3.386358316529644030e-01,2.428994649989633381e-01
5.791043996810913086e+00,4.467681069711804676e-01,3.465611968799237608e-01,3.447312487392207858e-01,5.278456183589734507e-02,5.330421274964496775e-02,4.267715760719971718e-01,3.337205630038982962e-01,1.191494447600298656e-01
6.793102025985717773e+00,4.762998979715613590e-01,3.516977509737265195e-01,2.293586925406066457e-01,5.825796028911663788e-02,5.308661269411221739e-02,4.554618679929955949e-01,3.318270250472096783e-01,6.894902497828780952e-02
8.077415943145751953e+00,5.057702374063703932e-01,3.597599326873195946e-01,6.208892008159335951e+00,5.865270306784025472e-02,5.257760936351271730e-02,4.818756169910936027e-01,3.414691831150190593e-01,1.528371785845425990e-01
9.442683935165405273e+00,5.372690237111161782e-01,3.662511215906254503e-01,4.147074435455757602e-01,5.875888977956977149e-02,5.203277322699088880e-02,5.365797334686372988e-01,3.500765517759249490e-01,1.257210201278882167e-01
1.073077392578125000e+01,5.660661554158287201e-01,3.662950154435801742e-01,6.139121229431290239e+00,5.867815076615946757e-02,5.221901673276722888e-02,5.646108838574833699e-01,3.348976130313203181e-01,6.205822801618868567e+00
1.237903594970703125e+01,6.002129742162782833e-01,3.777173802155798787e-01,5.786213581676018514e-01,6.882743000031822656e-02,5.315683209984647939e-02,6.270299128318564952e-01,3.451899327017685648e-01,1.543991264208237624e-01
1.385852003097534180e+01,6.322781887022689284e-01,3.929157869889543520e-01,6.215435849201277563e+00,7.315033151430928859e-02,5.401223535320315294e-02,6.682332875294484387e-01,3.593005083390942711e-01,1.741280810111476007e-01
1.570844197273254395e+01,6.743075622593441842e-01,4.107657644638703642e-01,7.316601008844964005e-01,7.930087902569536717e-02,5.343530304812005999e-02,7.491954841709519419e-01,3.440231070407452352e-01,8.762055690020442711e-02
1.747623300552368164e+01,7.188172974371704882e-01,4.270489276399426770e-01,6.236533220095369145e+00,7.799408545362812584e-02,5.049497769417710114e-02,8.177349823486194103e-01,3.567629857455143494e-01,6.259075833861447613e+00
1.954031300544738770e+01,7.694818292822910299e-01,4.552176747100688536e-01,4.217822830731139949e-01,7.735822693207280998e-02,5.360728944908760979e-02,8.933456669939504602e-01,3.699841222670015028e-01,2.561275214355739904e-01
2.134131908416748047e+01,8.095622722978107477e-01,4.571621508744274642e-01,5.916150269582463928e+00,8.664430220267835270e-02,5.439749125400061835e-02,9.288554064943597144e-01,3.963881797039708887e-01,3.411369933826087220e-01
2.363720893859863281e+01,8.735573271042451626e-01,4.611179912383290835e-01,6.347912605197509883e-01,9.005138564170304949e-02,5.404667476053102992e-02,1.029540013390261688e+00,3.824186391920380568e-01,1.661742706203837017e-01
2.567278099060058594e+01,8.996548859982235191e-01,4.573086078143102085e-01,6.023977748101895457e+00,7.031909379928812098e-02,5.403386038334544866e-02,1.090845195020692993e+00,3.457853341590344520e-01,5.919385737929259150e+00
2.843286108970642090e+01,9.582061331146398686e-01,4.899525049860392611e-01,9.469235970707258199e-01,8.115406370738530162e-02,5.508944630048477620e-02,1.155589619344985053e+00,3.440837810226509696e-01,6.279406628482329111e+00
3.105147004127502441e+01,1.025368369440178062e+00,5.240111406476541944e-01,6.083111356413603232e+00,7.809762211361402640e-02,4.988252653871350778e-02,1.244388010683426860e+00,3.548742281902946272e-01,6.076710796811637394e+00
3.374697399139404297e+01,1.152275432901724184e+00,5.534672449626462098e-01,9.876243980574793691e-01,4.869500763869010623e-02,5.109407536274114536e-02,1.307649250284369291e+00,3.367358694206853964e-01,6.211326597237637692e+00
3.668662095069885254e+01,1.220863187914996484e+00,5.645947165819132918e-01,5.983489049809546323e+00,5.253527395742729755e-02,5.088136803483957887e-02,1.397486941597495980e+00,3.600085667790701716e-01,6.153436250319245460e+00
3.979971408843994141e+01,1.285407092381739780e+00,5.899579937458986345e-01,1.059265057327400728e+00,6.190378702258533122e-02,5.692814847914728915e-02,1.478798127292269227e+00,3.311153327754581821e-01,2.258269365435161893e-02
4.287961506843566895e+01,1.287896429598767156e+00,6.441795755737294016e-01,2.393183942506131423e+00,6.087203854089566490e-02,7.155490717434942471e-02,1.561506727618539037e+00,3.640473640321649773e-01,6.270546133240492814e+00
4.616825294494628906e+01,1.279327972917844392e+00,7.253704988064929582e-01,9.594964421541490873e-01,6.118603452071812859e-02,6.493186471372697222e-02,1.664146220190063197e+00,3.792225177928612023e-01,5.311437471176212455e-01
4.972645807266235352e+01,1.268745216067181270e+00,7.858684883695823409e-01,2.506791319681693775e+00,5.900364065759169246e-02,7.589515870966989652e-02,1.602272479545881145e+00,4.864667732712117942e-01,1.841988709518783907e+00
5.316834211349487305e+01,1.273274970860831079e+00,8.355169464293028536e-01,1.007908547040540448e+00,6.122509888754535529e-02,7.282586207459788852e-02,1.590143795367827462e+00,5.675937127552057593e-01,1.468313706741698033e+00
5.704722499847412109e+01,1.241841390395227673e+00,9.290614498340064031e-01,2.694134343162797762e+00,6.181690960227027160e-02,7.891147523160906008e-02,1.586439054215678990e+00,6.678512123917527132e-01,1.985671550224029858e+00
6.048541498184204102e+01,1.217056116800179222e+00,9.964781408779376237e-01,1.196881569321057048e+00,6.628868907841818647e-02,8.719381241891310808e-02,1.582011615360536583e+00,7.612701053094529380e-01,1.312183426199558411e+00
6.471462893486022949e+01,1.160585209729883438e+00,1.084117120617000385e+00,3.034197656526527620e+00,7.331419494627861022e-02,8.444187688804595526e-02,1.493537589808014765e+00,8.408113181382872448e-01,2.529287476728155681e+00
6.805652594566345215e+01,1.100796392650930100e+00,1.145290074645568090e+00,1.577087751732167531e+00,7.620125782290915195e-02,7.617751226346165805e-02,1.455908243245720435e+00,9.252857437004220476e-01,1.882734807220723283e+00
7.154855108261108398e+01,1.022584950034970852e+00,1.225301790077474529e+00,3.105339902723804890e+00,9.834100549333314734e-02,8.393499339718939189e-02,1.421075842539259559e+00,1.025409094388672226e+00,2.187400528040864600e+00
7.529543495178222656e+01,9.771761261491678230e-01,1.297899837862881212e+00,1.457454887902713159e+00,1.057728327632493220e-01,7.178116665492664805e-02,1.369592343136251777e+00,1.118944241221564440e+00,1.678903416715653352e+00
7.953894996643066406e+01,9.298284496797604159e-01,1.366044948549721694e+00,3.319772302744773640e+00,1.150103157096106360e-01,7.081391366715319990e-02,1.312533092932871792e+00,1.213608969370917778e+00,2.423877299235570604e+00
8.412666893005371094e+01,6.793499410383148085e-01,1.362421825221868721e+00,1.379180006064621766e+00,1.032949356218317294e-01,6.915244547626496485e-02,1.289013135779828012e+00,1.329083334674245664e+00,1.365160967271088488e+00
8.954927897453308105e+01,8.063996634139553032e-01,1.304795688423186828e+00,3.750879008286797767e+00,9.376836050860033744e-02,7.529587006122018256e-02,1.172552663104701187e+00,1.393851088481670608e+00,2.913671157723925376e+00
