# Time, Northings KDE, Eastings KDE, Yaw KDE, Northings STD, Eastings STD, Northings GT, Eastings GT, Yaw GT
0.000000000000000000e+00,3.047576099871167066e-01,3.013186037963209163e-01,6.271927031467583014e+00,4.762848836137842379e-02,3.997764794777413505e-02,3.000679155622141270e-01,2.999999991794740639e-01,6.283185305569837453e+00
1.733238697052001953e-01,3.100065406751190689e-01,3.000663677990915712e-01,6.275366395124163610e+00,4.764218125373220064e-02,3.998290704866189205e-02,3.000679155622141270e-01,2.999999991794740639e-01,6.283185305569837453e+00
9.302270412445068359e-01,3.265424251075599860e-01,3.000087910969568838e-01,3.226162110266464489e-01,4.642100100609911767e-02,3.998680832684513298e-02,3.000679155622141270e-01,2.999999991794740639e-01,6.283185305569837453e+00
1.710060834884643555e+00,3.435483061357438861e-01,3.140061911736690137e-01,5.481632105900062779e-01,4.400787397516309207e-02,4.086038741148746017e-02,3.000679155622141270e-01,2.999999991794740639e-01,6.283185305569837453e+00
2.423030853271484375e+00,3.562716009065875489e-01,3.223648732112602278e-01,3.928397146381405469e-01,4.592647788105652662e-02,4.061477604932663132e-02,3.265505799127776942e-01,3.007926052868708511e-01,9.606571644273920185e-03
3.107359886169433594e+00,3.706839104723371192e-01,3.249526724736341854e-01,3.006729084530126439e-01,4.717528691555108317e-02,4.042477098526769258e-02,3.565649353435022539e-01,3.303904725750452243e-01,3.294486466535939684e-01
3.869447946548461914e+00,3.815463708564085787e-01,3.373344017067394507e-01,2.508744259420832012e-01,4.884900394866564105e-02,3.923224696519617138e-02,3.565649353435022539e-01,3.303904725750452243e-01,3.294486466535939684e-01
4.680000066757202148e+00,4.002631304832285353e-01,3.401478912054187731e-01,1.904066701765919079e-01,5.206989519602439609e-02,4.055657809979138634e-02,3.833826096348854073e-01,3.502667673494558875e-01,3.975996169227205002e-01
5.702837944030761719e+00,4.344605291344021958e-01,3.511800539985434622e-01,2.289925679288318250e-01,4.782997455318512003e-02,4.132918050320346509e-02,4.129444934764712194e-01,3.490566952656412036e-01,2.671321153383000024e-01
6.742775917053222656e+00,4.613043199987774678e-01,3.546874042819434525e-01,1.746960141532735156e-01,4.798828629072193763e-02,4.151482428133328878e-02,4.408980943921941842e-01,3.494896623019678183e-01,1.927091552622730297e-01
7.921463966369628906e+00,4.815454317724338629e-01,3.663115865025646234e-01,6.267048259170170610e+00,4.585483610601797516e-02,4.282565678431816264e-02,4.689887414929933551e-01,3.485024776463256924e-01,1.269212014705347613e-01
9.579480886459350586e+00,5.280407978669181546e-01,3.685730904713168110e-01,1.937658934377985975e-01,5.074813908492648712e-02,4.420121172952011512e-02,5.234625855052881249e-01,3.540008718094468931e-01,1.024254878401169716e-01
1.092154097557067871e+01,5.648195452826928475e-01,3.571211338366268029e-01,5.887504542160861831e+00,5.089654590180738708e-02,4.587457100893808926e-02,5.514452049899688513e-01,3.487480363439396380e-01,1.237428635976911551e-02
1.263196706771850586e+01,5.962055390635008223e-01,3.713006967364637645e-01,3.549603566183022751e-01,5.131512770934133771e-02,4.781320597612814111e-02,6.080168597566062427e-01,3.380737875761893330e-01,6.231505948025886532e+00
1.407756900787353516e+01,6.439033750516880428e-01,3.696444372071465145e-01,6.003582243653423411e+00,5.857216179013685631e-02,4.945037927951474038e-02,6.432542616723242457e-01,3.442589702987907119e-01,1.815868706593537496e-02
1.597113895416259766e+01,6.849786969527288383e-01,3.812109296180690721e-01,5.522814863597687030e-01,6.809439233997294227e-02,4.961934833843537063e-02,7.058128892716097891e-01,2.879481087771925130e-01,5.919680117930304242e+00
1.777050495147705078e+01,7.351322580379280325e-01,3.935626119773341092e-01,6.050722048624658456e+00,7.562262682333448227e-02,5.142407671603491798e-02,7.922016015992792148e-01,3.218497136492231014e-01,3.054183597878790124e-02
1.999468493461608887e+01,7.977406889009467372e-01,3.993849342996061424e-01,7.484404294483932851e-01,8.211396407764035010e-02,5.411697530761375163e-02,8.587424718262623990e-01,2.853209263487059832e-01,6.142950349587169789e+00
2.220978593826293945e+01,8.439779630361712304e-01,4.062367235427702949e-01,6.069606360368763553e+00,7.766978169839569568e-02,5.866849039948806438e-02,9.297152535064713286e-01,3.285098047958136536e-01,1.506784530736880179e-01
2.452839303016662598e+01,8.765913123800224138e-01,4.298109672895134015e-01,7.955799721785495882e-01,6.953803941402202093e-02,6.292058136089530296e-02,1.023675998334849124e+00,3.106995200096885901e-01,1.932630293959869405e-01
2.658439803123474121e+01,9.196373035863236733e-01,4.361174603723306786e-01,6.177973153099823200e+00,6.774469220250479984e-02,6.183767077766631759e-02,1.091462440649401122e+00,3.124593234698666566e-01,6.211970132719415005e+00
2.920318984985351562e+01,9.327477416172565983e-01,4.117832498356205906e-01,9.777869243289541989e-01,5.421786953207365090e-02,3.022638028215629546e-02,1.163939421465023827e+00,3.159299763290620566e-01,1.630163426298380791e-01
